unique_id,session,bbid,sponsor,date of vote, title, url
2016-2017-203,2016-2017,203,Megan E. Green,02/10/2017,Ordinance regarding pregnancy and reproductive health decisions as protected classes,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10651
2016-2017-246,2016-2017,246,Lewis E Reed,02/10/2017,Scott Trade Center Bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10694
2016-2017-81,2016-2017,81,Jack Coatar,02/10/2017,Cooperation agreement regarding 705 Olive,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10528
2016-2017-174,2016-2017,174,Joseph D Roddy,02/10/2017,Ordinance determining TIF plans making satisfactory progress,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10622
2016-2017-196,2016-2017,196,Lyda Krewson,02/10/2017,Unattended firearms lock-up requirement and reporting of stolen firearms,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10644
2016-2017-204,2016-2017,204,Kenneth Ortmann,02/10/2017,Ordinance establishing a stop site on Indiana and Pestalozzi,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10652
2016-2017-244,2016-2017,244,Larry Arnowitz,02/10/2017,Four-way stop site at the intersection of Field Avenue and Blow Street,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10692
2016-2017-247,2016-2017,247,Stephen Conway,02/10/2017,Justice Center Series 2005 Refunding Bonds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10695
2016-2017-248,2016-2017,248,Stephen Conway,02/10/2017,Convention Center Series 2009 Refunding Bonds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10696
2016-2017-249,2016-2017,249,Stephen Conway,02/10/2017,Police Series 2009 Juvenile Series 2008B Bonds,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10697
2016-2017-250,2016-2017,250,Thomas A Villa,02/10/2017,Loughborough Commons TIF Refunding,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10698
2016-2017-259,2016-2017,259,Terry Kennedy,02/10/2017,2015 Fire Operation and Safety Grant,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10707
2016-2017-261,2016-2017,261,Megan E. Green,02/10/2017,Domestic violence leave bill,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10709
2016-2017-266,2016-2017,266,Freeman M Bosley Sr.,02/10/2017,vacation of alley at St. Louis Avenue 22nd Cass Jefferson,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10714
2016-2017-275,2016-2017,275,Tammika Hubbard,02/10/2017,Healthworks Parcel Development Ageement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10723
2016-2017-276,2016-2017,276,Tammika Hubbard,02/10/2017,Healthworks TIF Note,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10724
2016-2017-287,2016-2017,287,Jeffrey L Boyd,02/10/2017,Assistance to local election authorities,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10735
2016-2017-289,2016-2017,289,Joseph D Roddy,02/10/2017,Armory CID,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10737
2016-2017-300,2016-2017,300,Joseph D Roddy,02/10/2017,Kings Oak CID,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10748
2016-2017-302,2016-2017,302,Jack Coatar,02/10/2017,Municipal Court operations,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10750
2016-2017-303,2016-2017,303,Freeman M Bosley Sr.,02/10/2017,50/50 Sidewalk,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10751
2016-2017-304,2016-2017,304,Freeman M Bosley Sr.,02/10/2017,Lease 5th District Police Station to Sun Ministries,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10752
2016-2017-306,2016-2017,306,Terry Kennedy,02/10/2017,Ordinance amending Civilian Oversight Board,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10754
2016-2017-307,2016-2017,307,Kenneth Ortmann,02/10/2017,Ordinance pertaining to witness tampering,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10755
2016-2017-308,2016-2017,308,Jack Coatar,02/10/2017,Ordinance pursuant to Police Division Sergeant Bargaining Unit,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10756
2016-2017-280,2016-2017,280,Lyda Krewson,02/10/2017,Northgate TIF Note,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10728
2016-2017-235,2016-2017,235,Joseph D Roddy,02/10/2017,Redevelopment plan for 100 N. Kingshighway,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10683
2016-2017-282,2016-2017,282,Joseph D Roddy,02/10/2017,Cortex TIF Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10730
2016-2017-283,2016-2017,283,Joseph D Roddy,02/10/2017,Cortex TIF 3rd Supplemental Indenture,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10731
2016-2017-284,2016-2017,284,Joseph D Roddy,02/10/2017,Cortex TIF 4th Supplemental Indenture,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10732
2016-2017-290,2016-2017,290,Christine Ingrassia,02/10/2017,MLS Stadium Financing Agreement,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10738
2016-2017-291,2016-2017,291,Christine Ingrassia,02/10/2017,amendment to Entertainment License Tax,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10739
2016-2017-281,2016-2017,281,Joseph D Roddy,02/03/2017,Cortex TIF Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10729
2016-2017-285,2016-2017,285,Joseph D Roddy,02/03/2017,Armory TIF Plan,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10733
2016-2017-227,2016-2017,227,Christine Ingrassia,02/03/2017,Economic Development Sales Tax to fund MetroLink expansion,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10675
2016-2017-226,2016-2017,226,Christine Ingrassia,02/03/2017,Use Tax to Help Fund Soccer Stadium,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10674
2016-2017-102,2016-2017,102,Dionne Flowers,02/03/2017,Quit Claim Deed City Block 661E,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=10549
