session,bbid,sponsor,date of vote, title, url
2018-2019,231,John Collins-Muhammad,04/15/2019,An ordinance enacted pursuant to Section 56.540 Revised Statutes of Missouri to repeal  Ordinance No. 70056 relating to the Office of the Circuit Attorney of the City of St. Louis allocating the positions established by Section 56.540 R.S.Mo. to c,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=13271
2018-2019,26,Christine Ingrassia,04/15/2019,Enforcement of code violations related to buildings structures and premises in the City; by amending Ordinance 70737 S,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11071
2018-2019,136,Joseph Vaccaro,04/15/2019,Recreational Fire,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11202
2018-2019,155,Terry Kennedy,04/15/2019,An ordinance repealing Section One of Ordinance 63915 and in lieu thereof enacting a new Section One authorizing and directing the Director of Streets to permanently close barricade or otherwise impede the flow of traffic on Enright Avenue by bloc,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11221
2018-2019,156,Terry Kennedy,04/15/2019,An ordinance authorizing and directing the Director of Streets to permanently close barricade or otherwise impede the flow of traffic on Washington Avenue by blocking said flow at the west curb line of Newstead Avenue; and containing an emergency c,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11222
2018-2019,175,Jack Coatar,04/15/2019,Front Page Lofts,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11242
2018-2019,186,Brandon Bosley,04/15/2019,Redevelopment Plan for 3861 St. Louis Ave,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11252
2018-2019,187,Terry Kennedy,04/15/2019,Redevelopment Plan for 4965-67 Dr. Martin Luther King Jr,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11253
2018-2019,188,Christine Ingrassia,04/15/2019,Tower Grove East Neighborhood,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11254
2018-2019,192,Marlene E Davis,04/15/2019,Olive West Planned Unit Development District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11259
2018-2019,195,Tom Oldenburg,04/15/2019,Lighthouse Area Special Use District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11262
2018-2019,196,Tom Oldenburg,04/15/2019,Defining terms Micro Wireless Facilities Small Wireless Utility Station Utility Towers,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11263
2018-2019,198,Tom Oldenburg,04/15/2019,Central West End Form Based District,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11264
2018-2019,199,Marlene E Davis,04/15/2019,Redevelopment Plan for 3000 Locust,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11265
2018-2019,205,Joseph Vollmer,04/15/2019,Redevelopment Plan for 1929 Edwards & 5210 Daggett,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11271
2018-2019,206,Joseph Vollmer,04/15/2019,Redevelopment Plan for 5126 Daggett & 5135 Daggett,https://www.stlouis-mo.gov/government/city-laws/board-bills/votes/board-bill.cfm?bbid=11272
