unique_id,session,bbid,ward,alderperson,vote
2015-2016-300,2015-2016,300,1,Sharon Tyus,Aye
2015-2016-300,2015-2016,300,2,Dionne Flowers,Aye
2015-2016-300,2015-2016,300,3,Freeman M Bosley Sr.,Aye
2015-2016-300,2015-2016,300,6,Christine Ingrassia,Aye
2015-2016-300,2015-2016,300,7,Jack Coatar,Aye
2015-2016-300,2015-2016,300,9,Kenneth Ortmann,Aye
2015-2016-300,2015-2016,300,10,Joseph Vollmer,Aye
2015-2016-300,2015-2016,300,11,Thomas A Villa,Aye
2015-2016-300,2015-2016,300,12,Larry Arnowitz,Aye
2015-2016-300,2015-2016,300,13,Beth Murphy,Aye
2015-2016-300,2015-2016,300,14,Carol Howard,Aye
2015-2016-300,2015-2016,300,15,Megan E. Green,Aye
2015-2016-300,2015-2016,300,16,Donna Baringer,Aye
2015-2016-300,2015-2016,300,17,Joseph D Roddy,Aye
2015-2016-300,2015-2016,300,18,Terry Kennedy,Aye
2015-2016-300,2015-2016,300,19,Marlene E Davis,Aye
2015-2016-300,2015-2016,300,20,Cara Spencer,Aye
2015-2016-300,2015-2016,300,22,Jeffrey L Boyd,Aye
2015-2016-300,2015-2016,300,23,Joseph Vaccaro,Aye
2015-2016-300,2015-2016,300,24,Scott Ogilvie,Aye
2015-2016-300,2015-2016,300,26,Frank Williamson,Aye
2015-2016-300,2015-2016,300,27,Chris Carter,Aye
2015-2016-300,2015-2016,300,28,Lyda Krewson,Aye
2015-2016-300,2015-2016,300,President,Lewis E Reed,Aye
2015-2016-300,2015-2016,300,4,Samuel L Moore,Absent
2015-2016-300,2015-2016,300,5,Tammika Hubbard,Absent
2015-2016-300,2015-2016,300,8,Stephen Conway,Absent
2015-2016-300,2015-2016,300,21,Antonio D French,Absent
2015-2016-300,2015-2016,300,25,Shane Cohn,Absent
2015-2016-306,2015-2016,306,1,Sharon Tyus,Aye
2015-2016-306,2015-2016,306,2,Dionne Flowers,Aye
2015-2016-306,2015-2016,306,3,Freeman M Bosley Sr.,Aye
2015-2016-306,2015-2016,306,6,Christine Ingrassia,Aye
2015-2016-306,2015-2016,306,7,Jack Coatar,Aye
2015-2016-306,2015-2016,306,9,Kenneth Ortmann,Aye
2015-2016-306,2015-2016,306,10,Joseph Vollmer,Aye
2015-2016-306,2015-2016,306,11,Thomas A Villa,Aye
2015-2016-306,2015-2016,306,12,Larry Arnowitz,Aye
2015-2016-306,2015-2016,306,13,Beth Murphy,Aye
2015-2016-306,2015-2016,306,14,Carol Howard,Aye
2015-2016-306,2015-2016,306,15,Megan E. Green,Aye
2015-2016-306,2015-2016,306,16,Donna Baringer,Aye
2015-2016-306,2015-2016,306,17,Joseph D Roddy,Aye
2015-2016-306,2015-2016,306,18,Terry Kennedy,Aye
2015-2016-306,2015-2016,306,19,Marlene E Davis,Aye
2015-2016-306,2015-2016,306,20,Cara Spencer,Aye
2015-2016-306,2015-2016,306,22,Jeffrey L Boyd,Aye
2015-2016-306,2015-2016,306,23,Joseph Vaccaro,Aye
2015-2016-306,2015-2016,306,24,Scott Ogilvie,Aye
2015-2016-306,2015-2016,306,26,Frank Williamson,Aye
2015-2016-306,2015-2016,306,27,Chris Carter,Aye
2015-2016-306,2015-2016,306,28,Lyda Krewson,Aye
2015-2016-306,2015-2016,306,President,Lewis E Reed,Aye
2015-2016-306,2015-2016,306,4,Samuel L Moore,Absent
2015-2016-306,2015-2016,306,5,Tammika Hubbard,Absent
2015-2016-306,2015-2016,306,8,Stephen Conway,Absent
2015-2016-306,2015-2016,306,21,Antonio D French,Absent
2015-2016-306,2015-2016,306,25,Shane Cohn,Absent
2015-2016-307,2015-2016,307,1,Sharon Tyus,Aye
2015-2016-307,2015-2016,307,2,Dionne Flowers,Aye
2015-2016-307,2015-2016,307,3,Freeman M Bosley Sr.,Aye
2015-2016-307,2015-2016,307,6,Christine Ingrassia,Aye
2015-2016-307,2015-2016,307,7,Jack Coatar,Aye
2015-2016-307,2015-2016,307,9,Kenneth Ortmann,Aye
2015-2016-307,2015-2016,307,10,Joseph Vollmer,Aye
2015-2016-307,2015-2016,307,11,Thomas A Villa,Aye
2015-2016-307,2015-2016,307,12,Larry Arnowitz,Aye
2015-2016-307,2015-2016,307,13,Beth Murphy,Aye
2015-2016-307,2015-2016,307,14,Carol Howard,Aye
2015-2016-307,2015-2016,307,15,Megan E. Green,Aye
2015-2016-307,2015-2016,307,16,Donna Baringer,Aye
2015-2016-307,2015-2016,307,17,Joseph D Roddy,Aye
2015-2016-307,2015-2016,307,18,Terry Kennedy,Aye
2015-2016-307,2015-2016,307,19,Marlene E Davis,Aye
2015-2016-307,2015-2016,307,20,Cara Spencer,Aye
2015-2016-307,2015-2016,307,22,Jeffrey L Boyd,Aye
2015-2016-307,2015-2016,307,23,Joseph Vaccaro,Aye
2015-2016-307,2015-2016,307,24,Scott Ogilvie,Aye
2015-2016-307,2015-2016,307,26,Frank Williamson,Aye
2015-2016-307,2015-2016,307,27,Chris Carter,Aye
2015-2016-307,2015-2016,307,28,Lyda Krewson,Aye
2015-2016-307,2015-2016,307,President,Lewis E Reed,Aye
2015-2016-307,2015-2016,307,4,Samuel L Moore,Absent
2015-2016-307,2015-2016,307,5,Tammika Hubbard,Absent
2015-2016-307,2015-2016,307,8,Stephen Conway,Absent
2015-2016-307,2015-2016,307,21,Antonio D French,Absent
2015-2016-307,2015-2016,307,25,Shane Cohn,Absent
2015-2016-321,2015-2016,321,1,Sharon Tyus,Aye
2015-2016-321,2015-2016,321,2,Dionne Flowers,Aye
2015-2016-321,2015-2016,321,3,Freeman M Bosley Sr.,Aye
2015-2016-321,2015-2016,321,6,Christine Ingrassia,Aye
2015-2016-321,2015-2016,321,7,Jack Coatar,Aye
2015-2016-321,2015-2016,321,9,Kenneth Ortmann,Aye
2015-2016-321,2015-2016,321,10,Joseph Vollmer,Aye
2015-2016-321,2015-2016,321,11,Thomas A Villa,Aye
2015-2016-321,2015-2016,321,12,Larry Arnowitz,Aye
2015-2016-321,2015-2016,321,13,Beth Murphy,Aye
2015-2016-321,2015-2016,321,14,Carol Howard,Aye
2015-2016-321,2015-2016,321,15,Megan E. Green,Aye
2015-2016-321,2015-2016,321,16,Donna Baringer,Aye
2015-2016-321,2015-2016,321,17,Joseph D Roddy,Aye
2015-2016-321,2015-2016,321,18,Terry Kennedy,Aye
2015-2016-321,2015-2016,321,19,Marlene E Davis,Aye
2015-2016-321,2015-2016,321,20,Cara Spencer,Aye
