session,bbid,ward,alderperson,vote
2016-2017,203,1,Sharon Tyus,Aye
2016-2017,203,3,Freeman M Bosley Sr.,Aye
2016-2017,203,4,Samuel L Moore,Aye
2016-2017,203,5,Tammika Hubbard,Aye
2016-2017,203,6,Christine Ingrassia,Aye
2016-2017,203,7,Jack Coatar,Aye
2016-2017,203,15,Megan E. Green,Aye
2016-2017,203,17,Joseph D Roddy,Aye
2016-2017,203,18,Terry Kennedy,Aye
2016-2017,203,20,Cara Spencer,Aye
2016-2017,203,21,Antonio D French,Aye
2016-2017,203,22,Jeffrey L Boyd,Aye
2016-2017,203,25,Shane Cohn,Aye
2016-2017,203,26,Frank Williamson,Aye
2016-2017,203,27,Chris Carter,Aye
2016-2017,203,28,Lyda Krewson,Aye
2016-2017,203,President,Lewis E Reed,Aye
2016-2017,203,2,Dionne Flowers,No
2016-2017,203,8,Stephen Conway,No
2016-2017,203,9,Kenneth Ortmann,No
2016-2017,203,10,Joseph Vollmer,No
2016-2017,203,11,Thomas A Villa,No
2016-2017,203,12,Larry Arnowitz,No
2016-2017,203,13,Beth Murphy,No
2016-2017,203,14,Carol Howard,No
2016-2017,203,19,Marlene E Davis,No
2016-2017,203,23,Joseph Vaccaro,No
2016-2017,203,16,Ward 16 Vacant,Absent
2016-2017,203,24,Scott Ogilvie,Absent
2016-2017,246,2,Dionne Flowers,Aye
2016-2017,246,3,Freeman M Bosley Sr.,Aye
2016-2017,246,5,Tammika Hubbard,Aye
2016-2017,246,6,Christine Ingrassia,Aye
2016-2017,246,7,Jack Coatar,Aye
2016-2017,246,8,Stephen Conway,Aye
2016-2017,246,9,Kenneth Ortmann,Aye
2016-2017,246,10,Joseph Vollmer,Aye
2016-2017,246,11,Thomas A Villa,Aye
2016-2017,246,12,Larry Arnowitz,Aye
2016-2017,246,13,Beth Murphy,Aye
2016-2017,246,14,Carol Howard,Aye
2016-2017,246,19,Marlene E Davis,Aye
2016-2017,246,23,Joseph Vaccaro,Aye
2016-2017,246,26,Frank Williamson,Aye
2016-2017,246,1,Sharon Tyus,No
2016-2017,246,4,Samuel L Moore,No
2016-2017,246,15,Megan E. Green,No
2016-2017,246,17,Joseph D Roddy,No
2016-2017,246,18,Terry Kennedy,No
2016-2017,246,20,Cara Spencer,No
2016-2017,246,21,Antonio D French,No
2016-2017,246,22,Jeffrey L Boyd,No
2016-2017,246,25,Shane Cohn,No
2016-2017,246,27,Chris Carter,No
2016-2017,246,28,Lyda Krewson,No
2016-2017,246,President,Lewis E Reed,No
2016-2017,246,16,Ward 16 Vacant,Absent
2016-2017,246,24,Scott Ogilvie,Absent
2016-2017,81,1,Sharon Tyus,Aye
2016-2017,81,2,Dionne Flowers,Aye
2016-2017,81,3,Freeman M Bosley Sr.,Aye
2016-2017,81,5,Tammika Hubbard,Aye
2016-2017,81,6,Christine Ingrassia,Aye
2016-2017,81,7,Jack Coatar,Aye
2016-2017,81,8,Stephen Conway,Aye
2016-2017,81,9,Kenneth Ortmann,Aye
2016-2017,81,10,Joseph Vollmer,Aye
2016-2017,81,11,Thomas A Villa,Aye
2016-2017,81,12,Larry Arnowitz,Aye
2016-2017,81,13,Beth Murphy,Aye
2016-2017,81,14,Carol Howard,Aye
2016-2017,81,15,Megan E. Green,Aye
2016-2017,81,17,Joseph D Roddy,Aye
2016-2017,81,18,Terry Kennedy,Aye
2016-2017,81,19,Marlene E Davis,Aye
2016-2017,81,20,Cara Spencer,Aye
2016-2017,81,21,Antonio D French,Aye
