bbid,date of vote,ward,alderperson,vote
270,04/16/2018,1,Sharon Tyus,Aye
270,04/16/2018,2,Lisa Middlebrook,Aye
270,04/16/2018,3,Brandon Bosley,Aye
270,04/16/2018,4,Samuel L Moore,Aye
270,04/16/2018,8,Annie Rice,Aye
270,04/16/2018,9,Dan Guenther,Aye
270,04/16/2018,10,Joseph Vollmer,Aye
270,04/16/2018,11,Sarah Martin,Aye
270,04/16/2018,12,Larry Arnowitz,Aye
270,04/16/2018,13,Beth Murphy,Aye
270,04/16/2018,14,Carol Howard,Aye
270,04/16/2018,15,Megan E. Green,Aye
270,04/16/2018,16,Tom Oldenburg,Aye
270,04/16/2018,18,Terry Kennedy,Aye
270,04/16/2018,19,Marlene E Davis,Aye
270,04/16/2018,20,Cara Spencer,Aye
270,04/16/2018,21,John Collins-Muhammad,Aye
270,04/16/2018,22,Jeffrey L Boyd,Aye
270,04/16/2018,23,Joseph Vaccaro,Aye
270,04/16/2018,24,Scott Ogilvie,Aye
270,04/16/2018,25,Shane Cohn,Aye
270,04/16/2018,26,Frank Williamson,Aye
270,04/16/2018,27,Pam Boyd,Aye
270,04/16/2018,28,Heather Navarro,Aye
270,04/16/2018,President,Lewis E Reed,Aye
270,04/16/2018,7,Jack Coatar,Did Not Vote
270,04/16/2018,5,Tammika Hubbard,Absent
270,04/16/2018,6,Christine Ingrassia,Absent
270,04/16/2018,17,Joseph D Roddy,Absent
34,04/16/2018,6,Christine Ingrassia,Aye
34,04/16/2018,8,Annie Rice,Aye
34,04/16/2018,9,Dan Guenther,Aye
34,04/16/2018,11,Sarah Martin,Aye
34,04/16/2018,12,Larry Arnowitz,Aye
34,04/16/2018,15,Megan E. Green,Aye
34,04/16/2018,20,Cara Spencer,Aye
34,04/16/2018,24,Scott Ogilvie,Aye
34,04/16/2018,25,Shane Cohn,Aye
34,04/16/2018,28,Heather Navarro,Aye
34,04/16/2018,1,Sharon Tyus,No
34,04/16/2018,2,Lisa Middlebrook,No
34,04/16/2018,3,Brandon Bosley,No
34,04/16/2018,4,Samuel L Moore,No
34,04/16/2018,10,Joseph Vollmer,No
34,04/16/2018,13,Beth Murphy,No
34,04/16/2018,14,Carol Howard,No
34,04/16/2018,16,Tom Oldenburg,No
34,04/16/2018,18,Terry Kennedy,No
34,04/16/2018,19,Marlene E Davis,No
34,04/16/2018,21,John Collins-Muhammad,No
34,04/16/2018,22,Jeffrey L Boyd,No
34,04/16/2018,23,Joseph Vaccaro,No
34,04/16/2018,27,Pam Boyd,No
34,04/16/2018,President,Lewis E Reed,No
34,04/16/2018,7,Jack Coatar,Did Not Vote
34,04/16/2018,26,Frank Williamson,Did Not Vote
34,04/16/2018,5,Tammika Hubbard,Absent
34,04/16/2018,17,Joseph D Roddy,Absent
262,04/16/2018,2,Lisa Middlebrook,Aye
262,04/16/2018,3,Brandon Bosley,Aye
262,04/16/2018,6,Christine Ingrassia,Aye
262,04/16/2018,10,Joseph Vollmer,Aye
262,04/16/2018,11,Sarah Martin,Aye
262,04/16/2018,12,Larry Arnowitz,Aye
262,04/16/2018,13,Beth Murphy,Aye
262,04/16/2018,14,Carol Howard,Aye
262,04/16/2018,18,Terry Kennedy,Aye
262,04/16/2018,19,Marlene E Davis,Aye
262,04/16/2018,20,Cara Spencer,Aye
262,04/16/2018,21,John Collins-Muhammad,Aye
262,04/16/2018,22,Jeffrey L Boyd,Aye
262,04/16/2018,23,Joseph Vaccaro,Aye
262,04/16/2018,25,Shane Cohn,Aye
262,04/16/2018,26,Frank Williamson,Aye
262,04/16/2018,27,Pam Boyd,Aye
262,04/16/2018,28,Heather Navarro,Aye
262,04/16/2018,President,Lewis E Reed,Aye
262,04/16/2018,1,Sharon Tyus,No
262,04/16/2018,9,Dan Guenther,No
262,04/16/2018,15,Megan E. Green,No
262,04/16/2018,8,Annie Rice,Did Not Vote
262,04/16/2018,7,Jack Coatar,Abstain
262,04/16/2018,16,Tom Oldenburg,Abstain
262,04/16/2018,4,Samuel L Moore,Present
262,04/16/2018,24,Scott Ogilvie,Present
262,04/16/2018,5,Tammika Hubbard,Absent
262,04/16/2018,17,Joseph D Roddy,Absent
233,04/16/2018,2,Lisa Middlebrook,Aye
233,04/16/2018,3,Brandon Bosley,Aye
233,04/16/2018,4,Samuel L Moore,Aye
233,04/16/2018,6,Christine Ingrassia,Aye
233,04/16/2018,7,Jack Coatar,Aye
233,04/16/2018,8,Annie Rice,Aye
233,04/16/2018,9,Dan Guenther,Aye
233,04/16/2018,10,Joseph Vollmer,Aye
233,04/16/2018,11,Sarah Martin,Aye
233,04/16/2018,13,Beth Murphy,Aye
233,04/16/2018,14,Carol Howard,Aye
233,04/16/2018,15,Megan E. Green,Aye
233,04/16/2018,18,Terry Kennedy,Aye
233,04/16/2018,19,Marlene E Davis,Aye
233,04/16/2018,20,Cara Spencer,Aye
233,04/16/2018,21,John Collins-Muhammad,Aye
233,04/16/2018,22,Jeffrey L Boyd,Aye
233,04/16/2018,24,Scott Ogilvie,Aye
233,04/16/2018,25,Shane Cohn,Aye
233,04/16/2018,26,Frank Williamson,Aye
233,04/16/2018,27,Pam Boyd,Aye
233,04/16/2018,28,Heather Navarro,Aye
233,04/16/2018,President,Lewis E Reed,Aye
233,04/16/2018,16,Tom Oldenburg,No
233,04/16/2018,23,Joseph Vaccaro,No
233,04/16/2018,1,Sharon Tyus,Present
233,04/16/2018,12,Larry Arnowitz,Present
233,04/16/2018,5,Tammika Hubbard,Absent
233,04/16/2018,17,Joseph D Roddy,Absent
99,03/09/2018,1,Sharon Tyus,Aye
99,03/09/2018,2,Lisa Middlebrook,Aye
99,03/09/2018,3,Brandon Bosley,Aye
99,03/09/2018,4,Samuel L Moore,Aye
99,03/09/2018,6,Christine Ingrassia,Aye
99,03/09/2018,7,Jack Coatar,Aye
99,03/09/2018,8,Annie Rice,Aye
99,03/09/2018,9,Dan Guenther,Aye
