session,bbid,ward,alderperson,vote
2018-2019,231,1,Sharon Tyus,Aye
2018-2019,231,2,Lisa Middlebrook,Aye
2018-2019,231,3,Brandon Bosley,Aye
2018-2019,231,5,Tammika Hubbard,Aye
2018-2019,231,6,Christine Ingrassia,Aye
2018-2019,231,8,Annie Rice,Aye
2018-2019,231,9,Dan Guenther,Aye
2018-2019,231,10,Joseph Vollmer,Aye
2018-2019,231,11,Sarah Martin,Aye
2018-2019,231,13,Beth Murphy,Aye
2018-2019,231,14,Carol Howard,Aye
2018-2019,231,15,Megan E. Green,Aye
2018-2019,231,16,Tom Oldenburg,Aye
2018-2019,231,17,Joseph D Roddy,Aye
2018-2019,231,18,Terry Kennedy,Aye
2018-2019,231,19,Marlene E Davis,Aye
2018-2019,231,20,Cara Spencer,Aye
2018-2019,231,22,Jeffrey L Boyd,Aye
2018-2019,231,23,Joseph Vaccaro,Aye
2018-2019,231,24,Scott Ogilvie,Aye
2018-2019,231,25,Shane Cohn,Aye
2018-2019,231,27,Pam Boyd,Aye
2018-2019,231,28,Heather Navarro,Aye
2018-2019,231,President,Lewis E Reed,Aye
2018-2019,231,12,Larry Arnowitz,Did Not Vote
2018-2019,231,21,John Collins-Muhammad,Did Not Vote
2018-2019,231,26,Frank Williamson,Did Not Vote
2018-2019,231,4,Samuel L Moore,Absent
2018-2019,231,7,Jack Coatar,Absent
2018-2019,26,1,Sharon Tyus,Aye
2018-2019,26,2,Lisa Middlebrook,Aye
2018-2019,26,3,Brandon Bosley,Aye
2018-2019,26,5,Tammika Hubbard,Aye
2018-2019,26,6,Christine Ingrassia,Aye
2018-2019,26,8,Annie Rice,Aye
2018-2019,26,9,Dan Guenther,Aye
2018-2019,26,10,Joseph Vollmer,Aye
2018-2019,26,11,Sarah Martin,Aye
2018-2019,26,13,Beth Murphy,Aye
2018-2019,26,14,Carol Howard,Aye
2018-2019,26,15,Megan E. Green,Aye
2018-2019,26,16,Tom Oldenburg,Aye
2018-2019,26,17,Joseph D Roddy,Aye
2018-2019,26,19,Marlene E Davis,Aye
2018-2019,26,20,Cara Spencer,Aye
2018-2019,26,22,Jeffrey L Boyd,Aye
2018-2019,26,23,Joseph Vaccaro,Aye
2018-2019,26,24,Scott Ogilvie,Aye
2018-2019,26,25,Shane Cohn,Aye
2018-2019,26,27,Pam Boyd,Aye
2018-2019,26,28,Heather Navarro,Aye
2018-2019,26,President,Lewis E Reed,Aye
2018-2019,26,12,Larry Arnowitz,Did Not Vote
2018-2019,26,18,Terry Kennedy,Did Not Vote
2018-2019,26,21,John Collins-Muhammad,Did Not Vote
2018-2019,26,26,Frank Williamson,Did Not Vote
2018-2019,26,4,Samuel L Moore,Absent
2018-2019,26,7,Jack Coatar,Absent
2018-2019,136,1,Sharon Tyus,Aye
2018-2019,136,2,Lisa Middlebrook,Aye
2018-2019,136,3,Brandon Bosley,Aye
2018-2019,136,5,Tammika Hubbard,Aye
2018-2019,136,6,Christine Ingrassia,Aye
2018-2019,136,8,Annie Rice,Aye
2018-2019,136,9,Dan Guenther,Aye
2018-2019,136,10,Joseph Vollmer,Aye
2018-2019,136,11,Sarah Martin,Aye
2018-2019,136,13,Beth Murphy,Aye
2018-2019,136,14,Carol Howard,Aye
2018-2019,136,15,Megan E. Green,Aye
2018-2019,136,16,Tom Oldenburg,Aye
2018-2019,136,17,Joseph D Roddy,Aye
2018-2019,136,19,Marlene E Davis,Aye
2018-2019,136,20,Cara Spencer,Aye
2018-2019,136,22,Jeffrey L Boyd,Aye
2018-2019,136,23,Joseph Vaccaro,Aye
2018-2019,136,24,Scott Ogilvie,Aye
2018-2019,136,25,Shane Cohn,Aye
2018-2019,136,27,Pam Boyd,Aye
2018-2019,136,28,Heather Navarro,Aye
2018-2019,136,President,Lewis E Reed,Aye
2018-2019,136,12,Larry Arnowitz,Did Not Vote
2018-2019,136,18,Terry Kennedy,Did Not Vote
2018-2019,136,21,John Collins-Muhammad,Did Not Vote
2018-2019,136,26,Frank Williamson,Did Not Vote
2018-2019,136,4,Samuel L Moore,Absent
2018-2019,136,7,Jack Coatar,Absent
2018-2019,155,1,Sharon Tyus,Aye
2018-2019,155,2,Lisa Middlebrook,Aye
2018-2019,155,3,Brandon Bosley,Aye
2018-2019,155,5,Tammika Hubbard,Aye
2018-2019,155,6,Christine Ingrassia,Aye
2018-2019,155,8,Annie Rice,Aye
2018-2019,155,9,Dan Guenther,Aye
2018-2019,155,10,Joseph Vollmer,Aye
2018-2019,155,11,Sarah Martin,Aye
2018-2019,155,13,Beth Murphy,Aye
2018-2019,155,14,Carol Howard,Aye
2018-2019,155,15,Megan E. Green,Aye
2018-2019,155,16,Tom Oldenburg,Aye
2018-2019,155,17,Joseph D Roddy,Aye
2018-2019,155,19,Marlene E Davis,Aye
2018-2019,155,20,Cara Spencer,Aye
